match_id,tournament_id,stage_name,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,draw
M-1930-01,WC-1930,group stage,S-185,T-28,T-44,4,1,0,0,1,0,0
M-1930-02,WC-1930,group stage,S-184,T-79,T-06,3,0,0,0,1,0,0
M-1930-03,WC-1930,group stage,S-184,T-83,T-09,2,1,0,0,1,0,0
M-1930-04,WC-1930,group stage,S-185,T-58,T-54,3,1,0,0,1,0,0
M-1930-05,WC-1930,group stage,S-184,T-03,T-28,1,0,0,0,1,0,0
M-1930-06,WC-1930,group stage,S-184,T-13,T-44,3,0,0,0,1,0,0
M-1930-07,WC-1930,group stage,S-184,T-83,T-07,4,0,0,0,1,0,0
M-1930-08,WC-1930,group stage,S-184,T-79,T-53,3,0,0,0,1,0,0
M-1930-09,WC-1930,group stage,S-183,T-80,T-54,1,0,0,0,1,0,0
M-1930-10,WC-1930,group stage,S-183,T-13,T-28,1,0,0,0,1,0,0
M-1930-11,WC-1930,group stage,S-183,T-03,T-44,6,3,0,0,1,0,0
M-1930-12,WC-1930,group stage,S-183,T-09,T-07,4,0,0,0,1,0,0
M-1930-13,WC-1930,group stage,S-183,T-53,T-06,1,0,0,0,1,0,0
M-1930-14,WC-1930,group stage,S-183,T-80,T-58,4,0,0,0,1,0,0
M-1930-15,WC-1930,group stage,S-183,T-03,T-13,3,1,0,0,1,0,0
M-1930-16,WC-1930,semi-finals,S-183,T-03,T-79,6,1,0,0,1,0,0
M-1930-17,WC-1930,semi-finals,S-183,T-80,T-83,6,1,0,0,1,0,0
M-1930-18,WC-1930,final,S-183,T-80,T-03,4,2,0,0,1,0,0
M-1934-01,WC-1934,round of 16,S-081,T-05,T-28,3,2,0,0,1,0,0
M-1934-02,WC-1934,round of 16,S-080,T-20,T-58,2,1,0,0,1,0,0
M-1934-03,WC-1934,round of 16,S-072,T-29,T-06,5,2,0,0,1,0,0
M-1934-04,WC-1934,round of 16,S-075,T-34,T-25,4,2,0,0,1,0,0
M-1934-05,WC-1934,round of 16,S-078,T-39,T-79,7,1,0,0,1,0,0
M-1934-06,WC-1934,round of 16,S-073,T-70,T-09,3,1,0,0,1,0,0
M-1934-07,WC-1934,round of 16,S-069,T-71,T-03,3,2,0,0,1,0,0
M-1934-08,WC-1934,round of 16,S-074,T-72,T-46,3,2,0,0,1,0,0
M-1934-09,WC-1934,quarter-finals,S-069,T-05,T-34,2,1,0,0,1,0,0
M-1934-10,WC-1934,quarter-finals,S-081,T-20,T-72,3,2,0,0,1,0,0
M-1934-11,WC-1934,quarter-finals,S-074,T-29,T-71,2,1,0,0,1,0,0
M-1934-12,WC-1934,quarter-finals,S-072,T-39,T-70,1,1,0,0,0,0,1
M-1934-13,WC-1934,quarter-finals,S-072,T-39,T-70,1,0,0,0,1,0,0
M-1934-14,WC-1934,semi-finals,S-078,T-20,T-29,3,1,0,0,1,0,0
M-1934-15,WC-1934,semi-finals,S-074,T-39,T-05,1,0,0,0,1,0,0
M-1934-16,WC-1934,third-place match,S-075,T-29,T-05,3,2,0,0,1,0,0
M-1934-17,WC-1934,final,S-078,T-39,T-20,2,1,0,0,1,0,0
M-1938-01,WC-1938,round of 16,S-045,T-72,T-29,1,1,0,0,0,0,1
M-1938-02,WC-1938,round of 16,S-052,T-18,T-58,3,3,0,0,0,0,1
M-1938-03,WC-1938,round of 16,S-046,T-28,T-06,3,1,0,0,1,0,0
M-1938-04,WC-1938,round of 16,S-047,T-34,T-22,6,0,0,0,1,0,0
M-1938-05,WC-1938,round of 16,S-042,T-39,T-51,2,1,0,0,1,0,0
M-1938-06,WC-1938,round of 16,S-050,T-09,T-55,6,5,0,0,1,0,0
M-1938-07,WC-1938,round of 16,S-038,T-20,T-46,3,0,0,0,1,0,0
M-1938-08,WC-1938,round of 16,S-052,T-18,T-58,2,1,0,0,1,0,0
M-1938-09,WC-1938,round of 16,S-045,T-72,T-29,4,2,0,0,1,0,0
M-1938-10,WC-1938,quarter-finals,S-037,T-09,T-20,1,1,0,0,0,0,1
M-1938-11,WC-1938,quarter-finals,S-040,T-34,T-72,2,0,0,0,1,0,0
M-1938-12,WC-1938,quarter-finals,S-046,T-39,T-28,3,1,0,0,1,0,0
M-1938-13,WC-1938,quarter-finals,S-036,T-71,T-18,8,0,0,0,1,0,0
M-1938-14,WC-1938,quarter-finals,S-037,T-09,T-20,2,1,0,0,1,0,0
M-1938-15,WC-1938,semi-finals,S-045,T-34,T-71,5,1,0,0,1,0,0
M-1938-16,WC-1938,semi-finals,S-042,T-39,T-09,2,1,0,0,1,0,0
M-1938-17,WC-1938,third-place match,S-037,T-09,T-71,4,2,0,0,1,0,0
M-1938-18,WC-1938,final,S-046,T-39,T-34,4,2,0,0,1,0,0
M-1950-01,WC-1950,group stage,S-020,T-09,T-44,4,0,0,0,1,0,0
M-1950-02,WC-1950,group stage,S-007,T-83,T-72,3,0,0,0,1,0,0
M-1950-03,WC-1950,group stage,S-020,T-27,T-13,2,0,0,0,1,0,0
M-1950-04,WC-1950,group stage,S-012,T-70,T-79,3,1,0,0,1,0,0
M-1950-05,WC-1950,group stage,S-023,T-71,T-39,3,2,0,0,1,0,0
M-1950-06,WC-1950,group stage,S-023,T-09,T-72,2,2,0,0,0,0,1
M-1950-07,WC-1950,group stage,S-017,T-83,T-44,4,1,0,0,1,0,0
M-1950-08,WC-1950,group stage,S-020,T-70,T-13,2,0,0,0,1,0,0
M-1950-09,WC-1950,group stage,S-007,T-79,T-27,1,0,0,0,1,0,0
M-1950-10,WC-1950,group stage,S-012,T-71,T-53,2,2,0,0,0,0,1
M-1950-11,WC-1950,group stage,S-020,T-09,T-83,2,0,0,0,1,0,0
M-1950-12,WC-1950,group stage,S-019,T-13,T-79,5,2,0,0,1,0,0
M-1950-13,WC-1950,group stage,S-020,T-70,T-27,1,0,0,0,1,0,0
M-1950-14,WC-1950,group stage,S-023,T-39,T-53,2,0,0,0,1,0,0
M-1950-15,WC-1950,group stage,S-007,T-80,T-07,8,0,0,0,1,0,0
M-1950-16,WC-1950,group stage,S-017,T-72,T-44,2,1,0,0,1,0,0
M-1950-17,WC-1950,final round,S-020,T-09,T-71,7,1,0,0,1,0,0
M-1950-18,WC-1950,final round,S-023,T-80,T-70,2,2,0,0,0,0,1
M-1950-19,WC-1950,final round,S-020,T-09,T-70,6,1,0,0,1,0,0
M-1950-20,WC-1950,final round,S-023,T-80,T-71,3,2,0,0,1,0,0
M-1950-21,WC-1950,final round,S-023,T-71,T-70,3,1,0,0,1,0,0
M-1950-22,WC-1950,final round,S-020,T-80,T-09,2,1,0,0,1,0,0
M-1954-01,WC-1954,group stage,S-170,T-09,T-44,5,0,0,0,1,0,0
M-1954-02,WC-1954,group stage,S-171,T-83,T-28,1,0,0,0,1,0,0
M-1954-03,WC-1954,group stage,S-173,T-05,T-61,1,0,0,0,1,0,0
M-1954-04,WC-1954,group stage,S-169,T-80,T-20,2,0,0,0,1,0,0
M-1954-05,WC-1954,group stage,S-171,T-72,T-39,2,1,0,0,1,0,0
M-1954-06,WC-1954,group stage,S-173,T-34,T-68,9,0,0,0,1,0,0
M-1954-07,WC-1954,group stage,S-169,T-82,T-76,4,1,0,0,1,0,0
M-1954-08,WC-1954,group stage,S-168,T-27,T-06,4,4,0,0,0,0,1
M-1954-09,WC-1954,group stage,S-168,T-80,T-61,7,0,0,0,1,0,0
M-1954-10,WC-1954,group stage,S-171,T-09,T-83,1,1,0,0,0,0,1
M-1954-11,WC-1954,group stage,S-173,T-05,T-20,5,0,0,0,1,0,0
M-1954-12,WC-1954,group stage,S-170,T-28,T-44,3,2,0,0,1,0,0
M-1954-13,WC-1954,group stage,S-168,T-34,T-82,8,3,0,0,1,0,0
M-1954-14,WC-1954,group stage,S-170,T-76,T-68,7,0,0,0,1,0,0
M-1954-15,WC-1954,group stage,S-172,T-39,T-06,4,1,0,0,1,0,0
M-1954-16,WC-1954,group stage,S-169,T-27,T-72,2,0,0,0,1,0,0
M-1954-17,WC-1954,group stage,S-173,T-82,T-76,7,2,0,0,1,0,0
M-1954-18,WC-1954,group stage,S-168,T-72,T-39,4,1,0,0,1,0,0
M-1954-19,WC-1954,quarter-finals,S-171,T-05,T-72,7,5,0,0,1,0,0
M-1954-20,WC-1954,quarter-finals,S-168,T-80,T-27,4,2,0,0,1,0,0
M-1954-21,WC-1954,quarter-finals,S-169,T-34,T-09,4,2,0,0,1,0,0
M-1954-22,WC-1954,quarter-finals,S-170,T-82,T-83,2,0,0,0,1,0,0
M-1954-23,WC-1954,semi-finals,S-171,T-34,T-80,4,2,0,0,1,0,0
M-1954-24,WC-1954,semi-finals,S-168,T-82,T-05,6,1,0,0,1,0,0
M-1954-25,WC-1954,third-place match,S-173,T-05,T-80,3,1,0,0,1,0,0
M-1954-26,WC-1954,final,S-169,T-82,T-34,3,2,0,0,1,0,0
M-1958-01,WC-1958,group stage,S-165,T-71,T-44,3,0,0,0,1,0,0
M-1958-02,WC-1958,group stage,S-161,T-03,T-82,1,3,0,0,0,1,0
M-1958-03,WC-1958,group stage,S-159,T-50,T-20,1,0,0,0,1,0,0
M-1958-04,WC-1958,group stage,S-162,T-28,T-53,7,3,0,0,1,0,0
M-1958-05,WC-1958,group stage,S-167,T-83,T-61,1,1,0,0,0,0,1
M-1958-06,WC-1958,group stage,S-164,T-34,T-81,1,1,0,0,0,0,1
M-1958-07,WC-1958,group stage,S-166,T-09,T-05,3,0,0,0,1,0,0
M-1958-08,WC-1958,group stage,S-158,T-69,T-27,2,2,0,0,0,0,1
M-1958-09,WC-1958,group stage,S-159,T-03,T-50,3,1,0,0,1,0,0
M-1958-10,WC-1958,group stage,S-160,T-82,T-20,2,2,0,0,0,0,1
M-1958-11,WC-1958,group stage,S-162,T-53,T-61,3,2,0,0,1,0,0
M-1958-12,WC-1958,group stage,S-167,T-83,T-28,3,2,0,0,1,0,0
M-1958-13,WC-1958,group stage,S-165,T-44,T-81,1,1,0,0,0,0,1
M-1958-14,WC-1958,group stage,S-158,T-09,T-27,0,0,0,0,0,0,1
M-1958-15,WC-1958,group stage,S-156,T-69,T-05,2,0,0,0,1,0,0
M-1958-16,WC-1958,group stage,S-165,T-71,T-34,2,1,0,0,1,0,0
M-1958-17,WC-1958,group stage,S-165,T-71,T-81,0,0,0,0,0,0,1
M-1958-18,WC-1958,group stage,S-160,T-20,T-03,6,1,0,0,1,0,0
M-1958-19,WC-1958,group stage,S-161,T-82,T-50,2,2,0,0,0,0,1
M-1958-20,WC-1958,group stage,S-163,T-28,T-61,2,1,0,0,1,0,0
M-1958-21,WC-1958,group stage,S-157,T-53,T-83,3,3,0,0,0,0,1
M-1958-22,WC-1958,group stage,S-164,T-34,T-44,4,0,0,0,1,0,0
M-1958-23,WC-1958,group stage,S-158,T-09,T-69,2,0,0,0,1,0,0
M-1958-24,WC-1958,group stage,S-156,T-27,T-05,2,2,0,0,0,0,1
M-1958-25,WC-1958,group stage,S-161,T-50,T-20,2,1,0,0,1,0,0
M-1958-26,WC-1958,group stage,S-165,T-81,T-34,2,1,0,0,1,0,0
M-1958-27,WC-1958,group stage,S-158,T-69,T-27,1,0,0,0,1,0,0
M-1958-28,WC-1958,quarter-finals,S-158,T-09,T-81,1,0,0,0,1,0,0
M-1958-29,WC-1958,quarter-finals,S-162,T-28,T-50,4,0,0,0,1,0,0
M-1958-30,WC-1958,quarter-finals,S-165,T-71,T-69,2,0,0,0,1,0,0
M-1958-31,WC-1958,quarter-finals,S-161,T-82,T-83,1,0,0,0,1,0,0
M-1958-32,WC-1958,semi-finals,S-165,T-09,T-28,5,2,0,0,1,0,0
M-1958-33,WC-1958,semi-finals,S-158,T-71,T-82,3,1,0,0,1,0,0
M-1958-34,WC-1958,third-place match,S-158,T-28,T-82,6,3,0,0,1,0,0
M-1958-35,WC-1958,final,S-165,T-09,T-71,5,2,0,0,1,0,0
M-1962-01,WC-1962,group stage,S-024,T-80,T-15,2,1,0,0,1,0,0
M-1962-02,WC-1962,group stage,S-026,T-13,T-72,3,1,0,0,1,0,0
M-1962-03,WC-1962,group stage,S-027,T-09,T-44,2,0,0,0,1,0,0
M-1962-04,WC-1962,group stage,S-025,T-03,T-10,1,0,0,0,1,0,0
M-1962-05,WC-1962,group stage,S-024,T-69,T-83,2,0,0,0,1,0,0
M-1962-06,WC-1962,group stage,S-026,T-82,T-39,0,0,0,0,0,0,1
M-1962-07,WC-1962,group stage,S-027,T-20,T-70,1,0,0,0,1,0,0
M-1962-08,WC-1962,group stage,S-025,T-34,T-27,2,1,0,0,1,0,0
M-1962-09,WC-1962,group stage,S-024,T-83,T-80,3,1,0,0,1,0,0
M-1962-10,WC-1962,group stage,S-026,T-13,T-39,2,0,0,0,1,0,0
M-1962-11,WC-1962,group stage,S-027,T-09,T-20,0,0,0,0,0,0,1
M-1962-12,WC-1962,group stage,S-025,T-27,T-03,3,1,0,0,1,0,0
M-1962-13,WC-1962,group stage,S-024,T-69,T-15,4,4,0,0,0,0,1
M-1962-14,WC-1962,group stage,S-026,T-82,T-72,2,1,0,0,1,0,0
M-1962-15,WC-1962,group stage,S-027,T-70,T-44,1,0,0,0,1,0,0
M-1962-16,WC-1962,group stage,S-025,T-34,T-10,6,1,0,0,1,0,0
