team_id,team_name
T-01,Algeria
T-02,Angola
T-03,Argentina
T-04,Australia
T-05,Austria
T-06,Belgium
T-07,Bolivia
T-08,Bosnia and Herzegovina
T-09,Brazil
T-10,Bulgaria
T-11,Cameroon
T-12,Canada
T-13,Chile
T-14,China
T-15,Colombia
T-16,Costa Rica
T-17,Croatia
T-18,Cuba
T-19,Czech Republic
T-20,Czechoslovakia
T-21,Denmark
T-22,Dutch East Indies
T-23,East Germany
T-24,Ecuador
T-25,Egypt
T-26,El Salvador
T-27,England
T-28,France
T-29,Germany
T-30,Ghana
T-31,Greece
T-32,Haiti
T-33,Honduras
T-34,Hungary
T-35,Iceland
T-36,Iran
T-37,Iraq
T-38,Israel
T-39,Italy
T-40,Ivory Coast
T-41,Jamaica
T-42,Japan
T-43,Kuwait
T-44,Mexico
T-45,Morocco
T-46,Netherlands
T-47,New Zealand
T-48,Nigeria
T-49,North Korea
T-50,Northern Ireland
T-51,Norway
T-52,Panama
T-53,Paraguay
T-54,Peru
T-55,Poland
T-56,Portugal
T-57,Republic of Ireland
T-58,Romania
T-59,Russia
T-60,Saudi Arabia
T-61,Scotland
T-62,Senegal
T-63,Serbia
T-64,Serbia and Montenegro
T-65,Slovakia
T-66,Slovenia
T-67,South Africa
T-68,South Korea
T-69,Soviet Union
T-70,Spain
T-71,Sweden
T-72,Switzerland
T-73,Togo
T-74,Trinidad and Tobago
T-75,Tunisia
T-76,Turkey
T-77,Ukraine
T-78,United Arab Emirates
T-79,United States
T-80,Uruguay
T-81,Wales
T-82,West Germany
T-83,Yugoslavia
T-84,Zaire
