playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226,170,222,t,Player,
ruthba01,1936,BBWAA,226,170,215,t,Player,
wagneho01,1936,BBWAA,226,170,215,t,Player,
mathech01,1936,BBWAA,226,170,205,t,Player,
johnswa01,1936,BBWAA,226,170,189,t,Player,
lajoina01,1936,BBWAA,226,170,146,f,Player,
speaktr01,1936,BBWAA,226,170,133,f,Player,
youngcy01,1936,BBWAA,226,170,111,f,Player,
hornsro01,1936,BBWAA,226,170,105,f,Player,
cochrmi01,1936,BBWAA,226,170,80,f,Player,
sislege01,1936,BBWAA,226,170,77,f,Player,
collied01,1936,BBWAA,226,170,60,f,Player,
colliji01,1936,BBWAA,226,170,58,f,Player,
alexape01,1936,BBWAA,226,170,55,f,Player,
gehrilo01,1936,BBWAA,226,170,51,f,Player,
bresnro01,1936,BBWAA,226,170,47,f,Player,
keelewi01,1936,BBWAA,226,170,40,f,Player,
ansonca01,1936,Veterans,78,59,39,f,Player,
ewingbu01,1936,Veterans,78,59,39,f,Player,
keelewi01,1936,Veterans,78,59,33,f,Player,
wadderu01,1936,BBWAA,226,170,33,f,Player,
youngcy01,1936,Veterans,78,59,32,f,Player,
delahed01,1936,Veterans,78,59,21,f,Player,
foxxji01,1936,BBWAA,226,170,21,f,Player,
walshed01,1936,BBWAA,226,170,20,f,Player,
mcgrajo01,1936,Veterans,78,59,17,f,Player,
delahed01,1936,BBWAA,226,170,17,f,Player,
radboch01,1936,Veterans,78,59,16,f,Player,
traynpi01,1936,BBWAA,226,170,16,f,Player,
kellyki01,1936,Veterans,78,59,15,f,Player,
longhe01,1936,Veterans,78,59,15,f,Player,
friscfr01,1936,BBWAA,226,170,14,f,Player,
grovele01,1936,BBWAA,226,170,12,f,Player,
jennihu01,1936,Veterans,78,59,11,f,Player,
rusieam01,1936,Veterans,78,59,11,f,Player,
chaseha01,1936,BBWAA,226,170,11,f,Player,
youngro01,1936,BBWAA,226,170,10,f,Player,
clarkfr01,1936,Veterans,78,59,9,f,Player,
terrybi01,1936,BBWAA,226,170,9,f,Player,
colliji01,1936,Veterans,78,59,8,f,Player,
klingjo01,1936,BBWAA,226,170,8,f,Player,
crigelo01,1936,BBWAA,226,170,7,f,Player,
comisch01,1936,Veterans,78,59,6,f,Player,
dennyje01,1936,Veterans,78,59,6,f,Player,
langebi01,1936,Veterans,78,59,6,f,Player,
robinwi01,1936,Veterans,78,59,6,f,Player,
stoveha01,1936,Veterans,78,59,6,f,Player,
wrighge01,1936,Veterans,78,59,6,f,Player,
brownmo01,1936,BBWAA,226,170,6,f,Player,
eversjo01,1936,BBWAA,226,170,6,f,Player,
clarkjo01,1936,Veterans,78,59,5,f,Player,
wagneho01,1936,Veterans,78,59,5,f,Player,
chancfr01,1936,BBWAA,226,170,5,f,Player,
spaldal01,1936,Veterans,78,59,4,f,Player,
mcgrajo01,1936,BBWAA,226,170,4,f,Player,
schalra01,1936,BBWAA,226,170,4,f,Player,
simmoal01,1936,BBWAA,226,170,4,f,Player,
barnero01,1936,Veterans,78,59,3,f,Player,
bennech01,1936,Veterans,78,59,3,f,Player,
duffyhu01,1936,Veterans,78,59,3,f,Player,
nichoki01,1936,Veterans,78,59,3,f,Player,
wardjo01,1936,Veterans,78,59,3,f,Player,
broutda01,1936,Veterans,78,59,2,f,Player,
dunlafr01,1936,Veterans,78,59,2,f,Player,
glassja01,1936,Veterans,78,59,2,f,Player,
hamilbi01,1936,Veterans,78,59,2,f,Player,
lajoina01,1936,Veterans,78,59,2,f,Player,
willine01,1936,Veterans,78,59,2,f,Player,
bendech01,1936,BBWAA,226,170,2,f,Player,
jacksjo01,1936,BBWAA,226,170,2,f,Player,
roushed01,1936,BBWAA,226,170,2,f,Player,
allisdo01,1936,Veterans,78,59,1,f,Player,
battijo01,1936,Veterans,78,59,1,f,Player,
becklja01,1936,Veterans,78,59,1,f,Player,
bondto01,1936,Veterans,78,59,1,f,Player,
burkeje01,1936,Veterans,78,59,1,f,Player,
crigelo01,1936,Veterans,78,59,1,f,Player,
dahlebi01,1936,Veterans,78,59,1,f,Player,
daubeja01,1936,Veterans,78,59,1,f,Player,
doyleja01,1936,Veterans,78,59,1,f,Player,
keefeti01,1936,Veterans,78,59,1,f,Player,
kilroma01,1936,Veterans,78,59,1,f,Player,
lathaar01,1936,Veterans,78,59,1,f,Player,
lowebo01,1936,Veterans,78,59,1,f,Player,
mcaleji01,1936,Veterans,78,59,1,f,Player,
mccarto01,1936,Veterans,78,59,1,f,Player,
mcveyca01,1936,Veterans,78,59,1,f,Player,
paborch01,1936,Veterans,78,59,1,f,Player,
pikeli01,1936,Veterans,78,59,1,f,Player,
remseja01,1936,Veterans,78,59,1,f,Player,
richaha01,1936,Veterans,78,59,1,f,Player,
tennefr02,1936,Veterans,78,59,1,f,Player,
vanhage01,1936,Veterans,78,59,1,f,Player,
wallabo01,1936,Veterans,78,59,1,f,Player,
whitede01,1936,Veterans,78,59,1,f,Player,
bakerfr01,1936,BBWAA,226,170,1,f,Player,
bradlbi01,1936,BBWAA,226,170,1,f,Player,
clarkfr01,1936,BBWAA,226,170,1,f,Player,
crawfsa01,1936,BBWAA,226,170,1,f,Player,
elberki01,1936,BBWAA,226,170,1,f,Player,
mackco01,1936,BBWAA,226,170,1,f,Player,
marquru01,1936,BBWAA,226,170,1,f,Player,
ruckena01,1936,BBWAA,226,170,1,f,Player,
vanceda01,1936,BBWAA,226,170,1,f,Player,
cummica01,1936,Veterans,78,59,0,f,Player,
flintsi01,1936,Veterans,78,59,0,f,Player,
richmle01,1936,Veterans,78,59,0,f,Player,
gehrich01,1936,BBWAA,226,170,0,f,Player,
hartnga01,1936,BBWAA,226,170,0,f,Player,
sullibi03,1936,BBWAA,226,170,0,f,Player,
lajoina01,1937,BBWAA,201,151,168,t,Player,
speaktr01,1937,BBWAA,201,151,165,t,Player,
youngcy01,1937,BBWAA,201,151,153,t,Player,
alexape01,1937,BBWAA,201,151,125,f,Player,
collied01,1937,BBWAA,201,151,115,f,Player,
keelewi01,1937,BBWAA,201,151,115,f,Player,
sislege01,1937,BBWAA,201,151,106,f,Player,
delahed01,1937,BBWAA,201,151,70,f,Player,
wadderu01,1937,BBWAA,201,151,67,f,Player,
colliji01,1937,BBWAA,201,151,66,f,Player,
walshed01,1937,BBWAA,201,151,56,f,Player,
hornsro01,1937,BBWAA,201,151,53,f,Player,
chancfr01,1937,BBWAA,201,151,49,f,Player,
eversjo01,1937,BBWAA,201,151,44,f,Player,
bresnro01,1937,BBWAA,201,151,43,f,Player,
brownmo01,1937,BBWAA,201,151,31,f,Player,
maranra01,1937,BBWAA,201,151,25,f,Player,
schalra01,1937,BBWAA,201,151,24,f,Player,
planked01,1937,BBWAA,201,151,23,f,Player,
clarkfr01,1937,BBWAA,201,151,22,f,Player,
klingjo01,1937,BBWAA,201,151,20,f,Player,
chaseha01,1937,BBWAA,201,151,18,f,Player,
bendech01,1937,BBWAA,201,151,17,f,Player,
crigelo01,1937,BBWAA,201,151,16,f,Player,
youngro01,1937,BBWAA,201,151,16,f,Player,
pennohe01,1937,BBWAA,201,151,15,f,Player,
tinkejo01,1937,BBWAA,201,151,15,f,Player,
bakerfr01,1937,BBWAA,201,151,13,f,Player,
marquru01,1937,BBWAA,201,151,13,f,Player,
woodjo02,1937,BBWAA,201,151,13,f,Player,
mcginjo01,1937,BBWAA,201,151,12,f,Player,
jossad01,1937,BBWAA,201,151,11,f,Player,
ruckena01,1937,BBWAA,201,151,11,f,Player,
heilmha01,1937,BBWAA,201,151,10,f,Player,
roushed01,1937,BBWAA,201,151,10,f,Player,
vanceda01,1937,BBWAA,201,151,10,f,Player,
adamsba01,1937,BBWAA,201,151,8,f,Player,
